scope,model,MAE,RMSE,MAPE_pct,WAPE_pct
national_daily_total,city_holt_winters_site_alloc,14536.07133237772,21702.513654747258,222.3514656677478,10.062304435493084
national_daily_total,zip_holt_winters_site_alloc,14537.241111407295,21706.427198740323,261.9442203921181,10.063114191612787
national_daily_total,site_client_id_holt_winters,14601.151827192238,21813.874388761236,262.0209740646672,10.107355105420494
national_daily_total,region_holt_winters_site_alloc,14709.472404023072,21759.560710316793,161.72977462355135,10.182337856658945
national_daily_total,simple_avg_ensemble,15283.083359652072,21719.93486653533,228.23626926980455,10.579408559677365
national_daily_total,gbm_stacked_exog,17601.222994858363,24462.950697810138,219.3116734788469,12.184094323806253
national_daily_total,site_client_id_arima,18921.292708730674,24970.9884620055,229.95571341660826,13.097886161596078
national_daily_total,zip_arima_site_alloc,18921.312104365195,24971.91112607283,229.9566323972315,13.097899587835865
national_daily_total,city_arima_site_alloc,18923.10255568726,24975.451533764633,234.9127859836489,13.09913899192708
national_daily_total,region_arima_site_alloc,18936.433303801976,24996.08587271476,230.50197236470825,13.108366935490098
national_daily_total,simple_avg_calibrated,25493.150464657854,31747.281193722552,267.8936738361149,17.647123155198454
national_daily_total,stacked_ensemble,26602.263767507353,32790.85516203406,254.49873044229955,18.414884639821093
site_day,simple_avg_ensemble,93.39863774435935,170.92557306724385,171.0076877417631,30.423271701838605
site_day,region_arima_site_alloc,96.74713985232698,169.57121499879574,176.2856391693584,31.51399841782897
site_day,city_arima_site_alloc,97.83530601333071,169.85434153200563,178.8290573156968,31.86845299631625
site_day,zip_arima_site_alloc,97.96475389285919,169.86062664826804,179.37395165917985,31.91061879343313
site_day,site_client_id_arima,97.98910069472805,169.85196096754967,179.4474366338428,31.91854941625822
site_day,gbm_stacked_exog,98.54163523422628,176.4992517126043,183.18909225385022,32.098529647509714
site_day,region_holt_winters_site_alloc,102.4900867026713,177.90486337943528,185.69954301555023,33.38468129519027
site_day,simple_avg_calibrated,104.37539881573976,178.9507219625344,203.8429580156857,33.998794777398025
site_day,zip_holt_winters_site_alloc,105.10364319717281,191.71603023464047,163.84522906651011,34.23600997899782
site_day,city_holt_winters_site_alloc,105.34032428820144,191.95723223976503,162.85154219610692,34.31310546253968
site_day,site_client_id_holt_winters,105.36077697910684,191.96139935506957,164.4091842667676,34.319767634360126
site_day,stacked_ensemble,106.29294748030712,179.2907418882741,208.93755205621943,34.62340885563873
