fold,scope,model,MAE,RMSE,MAPE_pct,WAPE_pct
train_12m_test_next_6m,site_6month,zip_arima_site_alloc,7945.234471313543,12027.139940573883,14.088594634184984,13.526568627347046
train_12m_test_next_6m,site_day,region_arima_site_alloc,116.90157469721709,172.3834779123313,99.88666552760786,35.546553922573246
train_12m_test_next_6m,site_month,zip_arima_site_alloc,1738.987917864395,2671.357637594528,19.098446280886396,17.763508048540626
train_18m_test_next_6m,site_6month,zip_arima_site_alloc,7702.731754390416,14867.654211234765,28.815861905701595,14.0625807935367
train_18m_test_next_6m,site_day,simple_avg_ensemble,93.39863774435935,170.92557306724385,171.0076877417631,30.423271701838605
train_18m_test_next_6m,site_month,zip_arima_site_alloc,1687.56066552333,3580.50215281339,76.6816349886008,18.45981290790259
train_6m_test_next_6m,site_6month,zip_arima_site_alloc,6384.548602197419,9891.123163857816,14.23033146552978,12.274806106013315
train_6m_test_next_6m,site_day,simple_avg_ensemble,84.76156402914337,130.904591880176,95.38646047871553,29.62389547840277
train_6m_test_next_6m,site_month,zip_arima_site_alloc,1597.0849831233045,2325.25936643693,22.501242790860886,18.410349014092393
