cluster_id,mae_cluster
74,9689.49531764647
61,6116.800998226008
54,6088.478332130698
81,5783.649673305015
32,5014.415631851575
82,4910.938493363818
50,4364.531574537273
35,4342.391929822252
30,4315.976002160578
55,4154.62309179534
14,3990.990223863289
60,3304.1503550943985
8,3253.6373859040636
5,3045.8164106659124
17,2931.745144683244
19,2926.5566782070723
2,2890.577525368212
75,2879.552810661593
80,2873.429667818155
71,2754.1688807244077
3,2691.450107928687
20,2664.2989364234404
24,2650.557167866966
34,2558.1753119406544
70,2525.251321901879
4,2377.950366638424
-1,2285.025799794666
18,2260.027824143709
6,2175.815678855545
76,2127.135498054646
49,2019.2552429379311
45,1956.3989576449956
37,1931.7264707996787
36,1871.9601522965306
58,1865.5050615557138
9,1854.9933478616801
12,1805.0847835558404
7,1762.8589270609127
10,1750.2114345580794
16,1739.2487332533387
65,1663.6915878181658
72,1630.384387192285
43,1613.3510335873193
1,1580.1236108742735
46,1559.9633674987524
0,1549.1656819342745
33,1548.4414961534794
38,1506.434578549511
13,1455.1340691133287
51,1409.9604114280753
40,1391.656824223495
29,1367.1900370999213
63,1315.9818478732827
53,1280.9576240122803
66,1262.0889197973777
26,1224.2945655140418
22,1222.0401204566158
59,1186.9573136236468
15,1185.4903825897043
78,1174.887380650989
48,1163.5694189272608
56,1093.5911522122597
11,1063.6338485171273
39,1058.5228700838798
67,1046.7353773519828
47,988.8809773926743
69,927.5603142329084
23,908.7669721484444
68,899.8369635379738
79,895.9217363997068
62,876.2656897692872
25,843.4298565752989
28,791.4364229536008
77,767.0524963354345
42,731.9733550527734
44,731.4288656808668
27,587.4376540302928
21,559.0662660670163
57,558.5057276818608
73,540.452118793543
31,502.8834289954189
52,449.56469973215786
41,418.9315625945984
64,349.11536750977905
