date,age_in_months,volume,low,high,cumulative_volume,break_even_month_estimate,cluster_id,site_type
2026-01-01,1,10224.828200367047,2157.1728541270822,18292.48354660701,10224.828200367047,13,53,1
2026-02-01,2,17698.609782430343,10974.802251404064,24422.417313456623,27923.43798279739,13,53,1
2026-03-01,3,30673.717840047328,22823.86587905317,38523.569801041485,58597.15582284472,13,53,1
2026-04-01,4,20966.275748570475,13231.073401046342,28701.47809609461,79563.43157141519,13,53,1
2026-05-01,5,23715.715861084314,16980.791332129716,30450.640390038912,103279.1474324995,13,53,1
2026-06-01,6,24946.292933179582,17801.51034459823,32091.075521760933,128225.4403656791,13,53,1
2026-07-01,7,18179.48352628372,11057.524988724384,25301.442063843053,146404.92389196283,13,53,1
2026-08-01,8,18695.736836043237,11591.550142872191,25799.923529214284,165100.66072800607,13,53,1
2026-09-01,9,15944.29403336639,9443.40444726248,22445.1836194703,181044.95476137247,13,53,1
2026-10-01,10,19470.7654601408,11214.152141109806,27727.37877917179,200515.72022151327,13,53,1
2026-11-01,11,19153.693748897083,13173.909917798617,25133.47757999555,219669.41397041036,13,53,1
2026-12-01,12,25064.777536367103,16534.582562042073,33594.97251069213,244734.19150677745,13,53,1
2027-01-01,13,18638.84166215166,10571.186315911695,26706.497008391623,263373.0331689291,13,53,1
2027-02-01,14,19299.530932795165,12575.723401768886,26023.338463821445,282672.56410172425,13,53,1
2027-03-01,15,19035.457400312273,11185.605439318115,26885.30936130643,301708.02150203654,13,53,1
2027-04-01,16,19075.80765834424,11340.605310820109,26811.010005868375,320783.82916038076,13,53,1
2027-05-01,17,17029.974206913812,10295.049677959216,23764.89873586841,337813.80336729455,13,53,1
2027-06-01,18,18019.084078769607,10874.301490188256,25163.866667350958,355832.88744606415,13,53,1
2027-07-01,19,24848.852015295794,17726.89347773646,31970.810552855128,380681.7394613599,13,53,1
2027-08-01,20,17623.076417419947,10518.8897242489,24727.263110590993,398304.81587877986,13,53,1
2027-09-01,21,15869.782661902045,9368.893075798134,22370.672248005954,414174.5985406819,13,53,1
2027-10-01,22,16137.977048143595,7881.3637291126015,24394.59036717459,430312.57558882545,13,53,1
2027-11-01,23,12490.472052804396,6510.688221705929,18470.255883902864,442803.0476416298,13,53,1
2027-12-01,24,13894.016363944818,5363.8213896197885,22424.211338269848,456697.0640055746,13,53,1
2028-01-01,25,9201.696099565212,1134.0407533252474,17269.351445805176,465898.7601051398,13,53,1
2028-02-01,26,9794.932835519026,3071.125304492746,16518.740366545306,475693.69294065883,13,53,1
2028-03-01,27,12474.274384706387,4624.422423712229,20324.126345700544,488167.9673253652,13,53,1
2028-04-01,28,13298.702575959585,5563.500228435453,21033.90492348372,501466.6699013248,13,53,1
2028-05-01,29,12028.243260053516,5293.31873109892,18763.167789008112,513494.9131613783,13,53,1
2028-06-01,30,16109.383053228643,8964.600464647292,23254.165641809996,529604.296214607,13,53,1
2028-07-01,31,15553.120385206437,8431.161847647105,22675.07892276577,545157.4165998134,13,53,1
2028-08-01,32,20774.837949198554,13670.651256027508,27879.0246423696,565932.2545490119,13,53,1
2028-09-01,33,16989.755124066003,10488.865537962092,23490.644710169916,582922.009673078,13,53,1
2028-10-01,34,19522.772961662835,11266.159642631841,27779.386280693827,602444.7826347408,13,53,1
2028-11-01,35,14123.459960147195,8143.6761290487275,20103.243791245663,616568.242594888,13,53,1
2028-12-01,36,12968.595069115245,4438.400094790215,21498.790043440276,629536.8376640033,13,53,1
2029-01-01,37,13791.376821368784,5723.721475128819,21859.032167608748,643328.2144853721,13,53,1
2029-02-01,38,14345.153047123938,7621.345516097658,21068.960578150218,657673.367532496,13,53,1
2029-03-01,39,18614.575083218388,10764.72312222423,26464.427044212545,676287.9426157144,13,53,1
2029-04-01,40,16138.739005083286,8403.536657559154,23873.941352607417,692426.6816207977,13,53,1
2029-05-01,41,16957.320503111554,10222.395974156958,23692.245032066152,709384.0021239093,13,53,1
2029-06-01,42,17438.007547511334,10293.224958929983,24582.790136092684,726822.0096714207,13,53,1
2029-07-01,43,15594.537806320308,8472.579268760976,22716.49634387964,742416.547477741,13,53,1
2029-08-01,44,16639.456859854476,9535.27016668343,23743.643553025522,759056.0043375955,13,53,1
2029-09-01,45,14784.9835843726,8284.093998268689,21285.87317047651,773840.9879219681,13,53,1
2029-10-01,46,17313.692267499682,9057.078948468688,25570.305586530674,791154.6801894677,13,53,1
2029-11-01,47,13064.435167473963,7084.651336375496,19044.21899857243,804219.1153569417,13,53,1
2029-12-01,48,14416.240432421646,5886.045458096616,22946.435406746677,818635.3557893634,13,53,1
2030-01-01,49,11054.942531378045,2987.2871851380805,19122.59787761801,829690.2983207414,13,53,1
2030-02-01,50,12415.828930267417,5692.021399241136,19139.636461293696,842106.1272510088,13,53,1
2030-03-01,51,15805.56232820227,7955.710367208112,23655.41428919643,857911.6895792111,13,53,1
2030-04-01,52,15642.090392685994,7906.888045161862,23377.292740210127,873553.779971897,13,53,1
2030-05-01,53,15128.057360245015,8393.132831290419,21862.98188919961,888681.837332142,13,53,1
2030-06-01,54,16657.99662763361,9513.214039052258,23802.77921621496,905339.8339597756,13,53,1
2030-07-01,55,16812.344059744762,9690.385522185428,23934.302597304097,922152.1780195204,13,53,1
2030-08-01,56,16890.996819851367,9786.81012668032,23995.183513022414,939043.1748393717,13,53,1
2030-09-01,57,14685.045976572821,8184.15639046891,21185.935562676732,953728.2208159445,13,53,1
2030-10-01,58,16909.343999932178,8652.730680901184,25165.95731896317,970637.5648158767,13,53,1
2030-11-01,59,12973.156966189023,6993.3731350905555,18952.94079728749,983610.7217820657,13,53,1
2030-12-01,60,14154.901581513199,5624.706607188169,22685.09655583823,997765.6233635789,13,53,1
